,Year,Austria,Belgium,Bulgaria,Croatia,Cyprus,Czech Republic,Denmark,Estonia,Finland,France,Germany,Greece,Hungary,Ireland,Italy,Latvia,Slovenia,Lithuania,Luxembourg,Malta,Netherlands,Poland,Portugal,Romania,Slovakia,Spain,Sweden
19,1979,189387896783.516,230266272692.697,,,5135008570.02027,,165111596943.141,,108487737735.285,1280045228283.46,1834766016070.68,146853758173.731,,55366331992.7269,1189201052186.41,,,,15421472491.8961,2273082136.89156,368129009943.781,,101006207990.821,,,540211219502.078,234157416129.864
20,1980,192667120935.942,240499429910.323,30408546077.8307,,5430438178.50588,,164314130489.675,,114334193866.016,1300253881649.64,1860614725103.57,147848150225.85,,57071243895.3609,1229990843476.89,,,,15551149030.0137,2433327863.22035,373068985166.768,,105641726219.543,,,552143016545.967,238138025327.291
21,1981,192389112509.963,239827755215.623,31898614054.9127,,5567122222.79763,,163219594375.45,,115838693345.703,1314153853595.82,1870461852829.7,145551002532.458,,58968985809.8468,1240374765744.15,,,,15465469116.0609,2513913892.54094,370145572922.263,,107351119444.742,,,551411601239.184,239221149500.055
22,1982,196258547592.121,241254698634.742,32643308122.8727,,5902358121.90304,,169233539427.689,,119439062675.781,1347078619777.78,1863076506757.72,143902422818.307,,60315523939.2961,1245504778335.04,,,,15640430422.8094,2571343056.41871,365552967323.612,,109643468494.882,,,558284735137.638,242208219499.103
23,1983,202093486979.047,242007033807.079,33763073451.8947,,6231838476.96802,,173626963822.703,,123161478423.828,1363794045035.68,1892371711215.94,142350258664.839,,60168171751.3179,1260067263727.99,,,,16107934774.4031,2555596405.6698,373119759805.182,,109453660796.144,,,568167021108.246,246811722726.639
24,1984,202197109935.467,247975853676.465,34909817206.7166,,6777616308.89204,,180860502606.804,,127149067752.734,1384438090121.85,1945792376994.39,145212324832.108,,62788118906.0824,1300715172729.04,,,,17104522552.5332,2579679603.425,384543489815.709,,107395954860.652,,,578307026952.115,257250711527.949
25,1985,207249365643.959,252071901218.968,35846601464.148,,7108536188.6019,,188101708262.83,,131661456678.906,1406904493488.19,1991089163868.88,148856511045.263,,64725518139.8179,1337110298849.1,,,,17582030272.3488,2646371535.67015,394465403148.719,,110411030622.129,,,591732054153.262,262808288360.312
26,1986,212018988476.745,256666571621.109,37354883785.455,,7371832835.28822,,197326551524.823,,135289563831.25,1439787739478.76,2036632127244.51,149627081061.957,,64448278606.273,1375351277184.77,,,,19337409478.3258,2749188098.12117,405459058225.018,,114983102465.714,,,610983001511.047,269881308726.533
27,1987,214896442478.295,262586995647.719,39616540393.6919,,7892671314.63169,,197828286475.179,,140125930521.484,1476673666392.57,2065188797761.24,146247209666.684,,67453560697.4644,1419251948455.8,,,,20101425602.3746,2862193872.20324,413289480955.017,,122320627422.591,,,644874977788.821,278932704065.054
28,1988,221979171128.378,274989527944.74,43952448746.3127,,8575133069.19745,,197801379443.834,,147436510957.812,1546714398124.5,2141750213307.76,152518087763.465,,70972892315.5242,1478780730118.51,,,,21802666126.8535,3103025627.85261,427511676525.385,,131481351670.397,,,677726999867.622,286070699812.652
29,1989,230607667590.116,284529373856.785,42506465016.4511,,9256635384.11491,,199077569084.282,,154936818098.437,1613901522615.43,2225204617485.91,158313775912.859,,75099199603.0937,1528887491700.11,,,,23938905603.7695,3356825370.16761,446408196647.337,,139949591199.726,,,710441087303.86,293665324567.97
30,1990,240629049863.283,293456205020.658,38630990310.8691,,9941996622.28162,120142052583.973,202014449528.001,,155975322164.062,1661090955411.7,2342139255489.1,158313775912.859,,81457494001.5015,1559247756414.99,,,,25212438894.5285,3568016377.99265,465082446942.397,194797367584.792,145478331657.148,116407360422.707,,737305660791.841,295881542676.808
31,1991,248910606082.174,298835475229.994,35368465963.2403,,10015517806.8104,106187622460.491,204829791576.421,,146794102994.141,1678502109603.77,2461781853866.62,163221502034.167,78733089074.8481,83029329818.521,1583235965443.08,,,,27391849518.0187,3791249040.17093,476426432932.937,181131204775.169,151833125542.386,101369612298.28,,756077467226.836,292490814556.963
32,1992,254121610895.057,303409615205.607,32796333900.6127,,10956976382.1297,105649737161.441,208838324345.416,,141957736303.906,1705347110174.84,2509123803633.37,164364052890.136,76320565233.1898,85805227886.166,1596444514474.62,,,,27890285979.4902,3969093970.92211,484554605651.777,185686615837.644,153487311625.174,92482306806.8966,35304372873.3847,763103054853.539,289102037155.611
33,1993,255460346929.86,300491199097.648,32310877694.5768,,11033675270.2906,105715138858.682,208860644214.547,,141017978885.547,1694626166709.98,2484613432320.15,161734227742.107,75880875956.0739,88115627601.5234,1582829943638.81,,,,29061859473.6523,4146939123.57586,490648132551.043,192628157713.225,150351141407.788,93896208216.6496,35975624843.6742,755231709959.596,283130298151.25
34,1994,261596808649.455,310187964527.328,32898293113.229,,11684661967.9042,108790719365.821,219998060186.398,,146606595315.625,1734591250411.78,2544042703990.73,164968912718.564,78117202649.1726,93187410736.8906,1616876989876.23,,,,30172289931.4379,4381286996.84371,505176677944.667,202823584825.574,151801786241.278,97588153349.0178,38208103468.723,773230356774.81,294257241961.393
35,1995,268576168421.57,317585194591.875,33837556160.6535,33746209213.2781,12661788238.3241,115863001168.759,226658693444.805,10254019388.509,152788801142.187,1771133801947.67,2583326450250.06,168432797539.427,79280778283.9448,102165479206.052,1663553589171.76,12350288663.5402,26417686104.9211,17913320835.8734,30604417464.514,4659169825.96261,520918165020.581,217229871335.721,158303123479.596,103671322094.773,40440791791.7082,794552137824.609,305836832131.49
36,1996,274886456416.226,321781927100.664,35598933514.8627,35784971087.6729,12819880993.5165,120805040906.55,233232021689.227,10760877052.8203,158391841239.844,1796159810500.7,2604143486148.1,173253561149.881,79346116187.6974,109704907771.2,1684627233211.13,12669916027.5586,27263846125.3402,18837373099.266,31032290015.6547,4835162313.9916,539143748273.904,230514657116.328,163850456044.527,107722488513.095,43117931007.4457,815691686929.687,310667391570.025
37,1997,280641477589.641,333989231728.476,30574008395.7341,37995954066.597,13158440543.4674,120178870877.585,240837461729.208,12165173094.8168,168424056796.875,1838123429815.53,2650813925428.06,181022595641.154,81840061575.3627,121796324887.1,1715459486928.71,13789545456.7203,28640614043.0074,20402932401.8633,32714188401.9113,5089345836.81546,562483569063.842,245380554450.192,171061297929.066,102498957462.192,45673029352.7789,845892627812.5,320206516443.849
38,1998,290692443914.523,340541460104.062,31732494894.486,38851218470.4858,13962532679.2982,119750353168.352,246179618941.138,12693120380.1531,177615261582.812,1904087419529.25,2704199536146.72,188073253821.134,85031827660.5837,132473139695.762,1746519856496.6,14663242477.5719,29579844442.7437,21928206400.9148,34897700894.5582,5350205409.65351,588717336764.449,256767475792.546,179285861799.304,100418420395.399,47534706550.7551,883053543058.203,334013297425.391
39,1999,301030430129.082,352605970422.851,29068205695.4845,38524755150.0201,14660374536.5853,121407876416.485,253437048662.499,12639171425.3594,185394056458.984,1969233367607.74,2755234843518.92,193851986394.534,87643177933.1084,146422410628.217,1774913511831.87,15067386986.0336,31157238919.3453,21677880321.5578,37750651303.9183,5602733761.14714,618353650975.274,268719724101.34,186289802829.511,100040183664.426,47484360184.3172,922707533769.14,348199457231.41
40,2000,311192381028.414,365711203833.047,30401629793.5103,39664624919.5067,15534911371.0171,126265440317.089,262932986641.725,13914164835.0824,196097527314.844,2046499571261.18,2835481139992.39,201450539792.111,91568886542.0243,160191278093.194,1842128690356.25,15922572893.818,32301448497.0859,22478991899.5918,40369840661.3785,6705452105.78124,644297559542.718,280975991510.811,193398953419.572,102502436149.502,48038277837.8844,971112252648.437,364795858131.684
41,2001,315135711888.113,369732633305.117,31564098025.8679,40899171102.42,16148938147.926,130107668072.565,265097327404.035,14749525966.5371,201215710279.297,2087096421588.52,2883158861645.24,209773694977.81,95299483590.3448,168690740424.778,1878075465645.74,16929438089.8539,33340444076.9215,23945995391.1406,41610952875.9605,6626676690.54687,659290074379.866,284512269531.768,197157995297.652,107851152934.257,49601339626.9648,1009306124395.31,370083569053.714
42,2002,320340348097.004,376043542626.992,33417519854.7765,43280736227.1184,16750156090.1963,132150170232.227,266333597050.533,15748270637.7266,204650762188.672,2110796058518.4,2877450961484.29,218002847793.364,99817905184.6813,178642424207.669,1882844706806.09,18129418442.5547,34509226036.6508,25562688814.3281,42953079582.1566,6796654065.39062,660722537625.617,290304549675.023,198677933649.212,114001895180.999,51838084329.0781,1036869753137.11,378214012929.902
43,2003,323356259321.687,379946808976.211,35167646925.346,45702446244.8419,17189560610.4889,136886020631.13,267372454034.624,16945180968.259,208751521832.422,2128171303325.76,2857305447168.18,230635091420.234,103884735932.983,184026417613.381,1885454835881.29,19656434376.8445,35530788949.9488,28263631519.6211,44078183347.9207,7073588482.89062,661750925152.705,300460538532.962,196829193371.541,116670847505.261,54688703651.855,1067788548860.16,386950040254.662
44,2004,332200441760.824,393515485920.82,37457210687.5425,47614021361.3964,18053567046.099,143476070938.564,274506537368.942,18098132398.0648,217085073153.906,2188393293109.35,2890881304361.69,242307515416.657,109083772922.95,196518388854.028,1912296060780.0,21284802094.6672,37079644535.9777,30120407999.1594,45943524157.4617,7083463147.61718,674886321780.345,315432020161.825,200349947385.126,128837415342.282,57575655083.7484,1101132739762.11,403731506887.751
45,2005,339655236682.676,402651880769.961,40100321647.3792,49665566666.4992,18929707347.8065,152947812388.841,280920770514.868,19822237764.1937,223119713766.016,2224791087607.91,2912034089955.56,243759281967.678,113768132959.824,207798116295.995,1927935754486.25,23566610772.3461,38487919291.2,32449428669.3601,47084244317.1613,7323117931.99218,688727404110.835,326493699429.633,201916379874.368,134851736635.346,61389156292.5511,1141347034482.81,415273396287.166
46,2006,351387070656.34,412928965821.953,42828181869.7527,52108148417.6885,19822021319.0875,163297687890.645,291913222677.846,21757994918.8512,232105658667.187,2279283420792.28,3023170179485.12,257537613577.613,118257499574.879,218162781857.521,1962458137126.76,26387966692.6328,40699587892.4722,34855268683.5691,49917169128.3586,7506964217.96874,712564183491.074,346511473670.248,205197590054.868,145678727802.492,66603045838.9495,1188172916518.75,434636654376.703
