nation,date,tmax,tmin,precip,month,day,year
Germany,1979-01-01,-7.511338983050851,-18.412576271186442,2.40811826839322,1,1,1979
Germany,1980-01-01,0.8474745762711837,-1.8957288135593193,2.8199601584542373,1,1,1980
Germany,1981-01-01,4.238101694915256,0.2527966101694945,7.562354518128814,1,1,1981
Germany,1982-01-01,4.052508474576269,2.5437966101694944,2.2597619387796613,1,1,1982
Germany,1983-01-01,1.5991864406779681,-2.06993220338983,0.47087589892881354,1,1,1983
Germany,1984-01-01,5.401915254237287,3.0229661016949123,2.3461746098033895,1,1,1984
Germany,1985-01-01,-0.018813559322032793,-3.733932203389829,4.990167728054237,1,1,1985
Germany,1986-01-01,-6.081016949152544,-10.777338983050848,0.1448938673084746,1,1,1986
Germany,1987-01-01,5.748830508474579,1.6611186440677956,9.486124849220339,1,1,1987
Germany,1988-01-01,7.157101694915253,4.566169491525424,1.7911994884474576,1,1,1988
Germany,1989-01-01,5.673271186440677,2.693932203389832,1.553098999118644,1,1,1989
Germany,1990-01-01,-0.7277457627118661,-5.942762711864405,0.1558918502237288,1,1,1990
Germany,1991-01-01,4.488,1.9624745762711866,1.7601692402440678,1,1,1991
Germany,1992-01-01,2.8834406779661035,-1.578372881355934,0.7668027833491525,1,1,1992
Germany,1993-01-01,-2.687847457627121,-7.996779661016946,0.047250532433898304,1,1,1993
Germany,1994-01-01,4.206728813559324,1.2171694915254228,1.3612748901559322,1,1,1994
Germany,1995-01-01,2.7155084745762688,-1.3997796610169493,4.082398600637289,1,1,1995
Germany,1996-01-01,-3.6242542372881372,-5.911372881355932,0.6967706896677966,1,1,1996
Germany,1997-01-01,-12.863271186440677,-18.50050847457627,0.3145185584542373,1,1,1997
Germany,1998-01-01,7.806728813559324,4.307101694915254,0.9886533717966102,1,1,1998
Germany,1999-01-01,3.7103050847457597,-1.4265593220338952,0.06712254597966101,1,1,1999
Germany,2000-01-01,3.5101864406779635,0.3994067796610162,2.1205710189152542,1,1,2000
Germany,2001-01-01,1.7827457627118635,-3.6967457627118643,3.7128611356474575,1,1,2001
Germany,2002-01-01,-0.10225423728813518,-5.3893559322033875,1.9511061068745763,1,1,2002
Germany,2003-01-01,5.105779661016946,-5.463728813559317,5.26438989860339,1,1,2003
Germany,2004-01-01,-0.34138983050847643,-3.094949152542373,0.4116673141016949,1,1,2004
Germany,2005-01-01,6.593152542372881,3.8459830508474577,1.5335180659525425,1,1,2005
Germany,2006-01-01,2.3430508474576297,0.5719152542372867,1.5275827659661017,1,1,2006
Germany,2007-01-01,10.88935593220339,4.184423728813559,7.506432422237288,1,1,2007
Germany,2008-01-01,1.318050847457631,-1.800813559322035,0.9560666572474577,1,1,2008
Germany,2009-01-01,-1.473491525423728,-6.770966101694911,0.7412280019932203,1,1,2009
Germany,2010-01-01,0.43100000000000366,-2.3953389830508476,1.7193487007593222,1,1,2010
Germany,2011-01-01,0.7088813559322052,-1.409118644067796,1.9585108660881356,1,1,2011
Germany,2012-01-01,10.696169491525422,5.371644067796608,5.189120142955932,1,1,2012
Germany,2013-01-01,6.617372881355932,2.820694915254241,4.650045372610169,1,1,2013
Germany,2014-01-01,4.495677966101697,-0.18983050847457583,0.38324131358644065,1,1,2014
Germany,1979-01-10,0.3300169491525454,-2.4713728813559337,2.7425087065220337,1,10,1979
Germany,1980-01-10,-2.960305084745762,-5.971610169491525,0.6722725340745763,1,10,1980
Germany,1981-01-10,0.21674576271186444,-2.1222711864406776,5.851500053491525,1,10,1981
Germany,1982-01-10,-9.318305084745768,-16.79015254237288,1.134216327416949,1,10,1982
Germany,1983-01-10,6.18428813559322,3.2477288135593216,1.965202875701695,1,10,1983
Germany,1984-01-10,0.6693898305084777,-3.375677966101701,0.8814377241762712,1,10,1984
Germany,1985-01-10,-8.709084745762711,-16.839135593220337,0.6734655572338982,1,10,1985
Germany,1986-01-10,-0.08557627118644322,-9.404457627118644,2.278906699484746,1,10,1986
Germany,1987-01-10,-6.390542372881354,-12.782644067796609,1.3710798030508475,1,10,1987
Germany,1988-01-10,4.399220338983052,0.6069830508474577,1.6769282485423729,1,10,1988
Germany,1989-01-10,7.0732372881355925,3.8051016949152587,3.715275847728814,1,10,1989
Germany,1990-01-10,3.6416949152542366,0.8246271186440661,0.9444286897627119,1,10,1990
Germany,1991-01-10,12.302864406779662,6.01706779661017,6.898838327023729,1,10,1991
Germany,1992-01-10,4.309576271186441,-0.8949661016949185,3.9436291353355934,1,10,1992
Germany,1993-01-10,8.940610169491523,6.671711864406777,5.224615818101696,1,10,1993
Germany,1994-01-10,3.541254237288141,1.4071186440677967,0.5597615573694915,1,10,1994
Germany,1995-01-10,3.0398305084745805,-0.11252542372881577,10.396424151823728,1,10,1995
Germany,1996-01-10,2.0699661016949142,-0.45501694915254537,0.7608963672,1,10,1996
Germany,1997-01-10,-3.3315762711864383,-8.358864406779661,0.6773350791050847,1,10,1997
Germany,1998-01-10,9.579152542372881,4.5221016949152535,0.3288916023864407,1,10,1998
Germany,1999-01-10,0.9372711864406761,-2.1968135593220337,0.7893512702237289,1,10,1999
Germany,2000-01-10,2.192457627118643,-0.1586440677966084,1.2435849086644066,1,10,2000
Germany,2001-01-10,3.3762033898305113,-0.6004915254237302,1.9286885228338981,1,10,2001
Germany,2002-01-10,-2.1059661016949165,-7.675237288135597,0.30439347510508474,1,10,2002
Germany,2003-01-10,-4.601932203389831,-11.33064406779661,0.41640979240677967,1,10,2003
Germany,2004-01-10,3.9229491525423703,1.1109830508474607,2.75999481579661,1,10,2004
Germany,2005-01-10,11.00376271186441,5.0222542372881405,1.0479491863322035,1,10,2005
Germany,2006-01-10,-0.18737288135593325,-4.753101694915256,0.20445165628474576,1,10,2006
Germany,2007-01-10,12.079661016949153,7.865677966101696,3.1614794082305084,1,10,2007
Germany,2008-01-10,7.322983050847458,2.1102203389830483,0.4171081186983051,1,10,2008
Germany,2009-01-10,-1.2766101694915262,-7.265610169491524,0.12476005358644068,1,10,2009
Germany,2010-01-10,-2.107016949152546,-3.925915254237292,4.422346285423728,1,10,2010
Germany,2011-01-10,2.195711864406777,-2.232152542372884,0.678731544122034,1,10,2011
Germany,2012-01-10,6.317220338983052,2.4999661016949166,1.3976146324067797,1,10,2012
Germany,2013-01-10,4.120813559322034,-0.5130847457627145,4.177888682827119,1,10,2013
Germany,2014-01-10,6.728084745762712,3.567457627118646,1.9817285899728811,1,10,2014
Germany,1979-01-11,0.44730508474576197,-2.1532203389830498,6.063225455837288,1,11,1979
Germany,1980-01-11,-5.634101694915253,-9.70691525423729,0.43386685761355936,1,11,1980
Germany,1981-01-11,-0.33081355932203566,-5.736627118644065,0.9917954730305084,1,11,1981
Germany,1982-01-11,-4.842203389830508,-13.333525423728814,4.891767572379661,1,11,1982
Germany,1983-01-11,7.756372881355934,5.509254237288135,1.4350307846644066,1,11,1983
Germany,1984-01-11,2.0037966101694904,-2.0223220338983032,2.611900930576271,1,11,1984
Germany,1985-01-11,-6.858050847457628,-15.402525423728813,0.5783243386576271,1,11,1985
Germany,1986-01-11,2.9751525423728786,0.08388135593220493,5.583242305342373,1,11,1986
Germany,1987-01-11,-11.291627118644065,-17.679966101694916,1.3618855976949154,1,11,1987
Germany,1988-01-11,4.840440677966102,1.0117627118644061,6.021794049803391,1,11,1988
Germany,1989-01-11,4.277135593220339,0.678728813559321,1.0636606227661016,1,11,1989
Germany,1990-01-11,4.2355254237288165,0.43537288135593155,0.9556302335186441,1,11,1990
Germany,1991-01-11,8.136169491525424,4.639610169491523,3.7206585662644067,1,11,1991
Germany,1992-01-11,1.1158474576271173,-2.4982881355932234,0.2353070535864407,1,11,1992
Germany,1993-01-11,9.508694915254235,6.829491525423729,10.269365849084744,1,11,1993
Germany,1994-01-11,3.588593220338987,1.2389152542372863,1.0764041836881355,1,11,1994
Germany,1995-01-11,1.3610000000000022,-0.9580169491525412,5.229649121613559,1,11,1995
Germany,1996-01-11,2.8692372881355954,-0.8599999999999964,0.6219960742372881,1,11,1996
Germany,1997-01-11,-4.107203389830512,-9.83357627118644,0.5683446065898305,1,11,1997
Germany,1998-01-11,8.458966101694914,2.4212542372881343,0.00034914191186440676,1,11,1998
Germany,1999-01-11,0.17438983050847753,-1.9489322033898282,1.9040447408949153,1,11,1999
Germany,2000-01-11,2.005644067796605,-1.1583050847457612,0.3672680468338983,1,11,2000
Germany,2001-01-11,2.174016949152546,-2.1064237288135583,1.9783245423050848,1,11,2001
Germany,2002-01-11,-0.333932203389832,-7.022711864406784,0.7754293759728813,1,11,2002
Germany,2003-01-11,-3.6229999999999984,-8.756016949152544,0.2885657026576271,1,11,2003
Germany,2004-01-11,8.663406779661019,1.6295932203389862,8.541332106955933,1,11,2004
Germany,2005-01-11,8.544271186440678,5.746898305084744,1.1139369892474575,1,11,2005
Germany,2006-01-11,1.1019999999999994,-4.271745762711863,1.020890592122034,1,11,2006
Germany,2007-01-11,8.324525423728819,4.093440677966104,8.433112320244067,1,11,2007
Germany,2008-01-11,9.344932203389835,5.739779661016953,1.5808561704,1,11,2008
Germany,2009-01-11,-1.5008474576271185,-7.514118644067798,0.0002909515118644068,1,11,2009
Germany,2010-01-11,-2.3258644067796572,-5.17450847457627,1.829503224976271,1,11,2010
Germany,2011-01-11,3.38406779661017,-1.8235932203389835,1.0684901649355931,1,11,2011
Germany,2012-01-11,6.967745762711866,3.590711864406781,1.4358455692474574,1,11,2012
Germany,2013-01-11,0.8587118644067847,-2.9352203389830476,1.495432176040678,1,11,2013
Germany,2014-01-11,6.123966101694914,1.713084745762712,1.3615948460745761,1,11,2014
Germany,1979-01-12,0.03672881355932459,-2.2138983050847445,4.496001179552543,1,12,1979
Germany,1980-01-12,-7.53376271186441,-10.944474576271187,0.3189119270644068,1,12,1980
Germany,1981-01-12,-1.5243050847457675,-8.630559322033898,2.4233641712542373,1,12,1981
Germany,1982-01-12,-4.349152542372883,-12.316203389830507,0.9950543500881356,1,12,1982
Germany,1983-01-12,6.151813559322036,1.5333898305084717,0.5688683871864407,1,12,1983
Germany,1984-01-12,2.830525423728813,0.08491525423729016,3.689453949437288,1,12,1984
Germany,1985-01-12,-4.612389830508473,-11.94871186440678,3.9064319070101696,1,12,1985
